Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Precious,2009,Not Rated,20 Nov 2009,110 min,Drama,Lee Daniels,"Geoffrey Fletcher, Sapphire","Gabourey Sidibe, Mo'Nique, Paula Patton","In Harlem, 1987. Sixteen year old Claireece Jones - who goes by her middle name Precious - is illiterate and overweight. She is pregnant with her second child, both children fathered by her biological father, who has continually raped her since she was a child, but who she doesn't see otherwise. Her infant daughter, Mongo - such named since she has Down Syndrome - lives with Precious' grandmother. Precious lives with her mother Mary, who abuses Precious both physically and emotionally. Mary does nothing but smoke, watch television and collect welfare through fraud (as she doesn't ever look for a job) and believes that education does nothing for Precious, who she would rather also collect welfare if only to bring money into the household. To escape her life, Precious often daydreams of herself in glamorous situations. Because of her current pregnancy, Precious' principal transfers her into an alternative school. In dealing with the school's sympathetic teacher Miss Blu Rain, Precious begins to believe that she can have a future by learning how to read and write. Despite some devastating news from her mother following the birth of her child, Precious also begins to believe she can escape the grips of her abusive mother, who, up to this point, was Precious' only real support.","English, Italian",United States,Won 2 Oscars. 114 wins & 103 nominations total,https://m.media-amazon.com/images/M/MV5BNDVkZDYzOTktMDI0Yy00YjE5LWIxMGEtOGZlNjllOTdhZjQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.3,"117,933",tt0929632,movie,N/A,"$47,566,524",N/A,N/A,True,BLU- RAY.pdf,
RED 2,2013,PG-13,19 Jul 2013,116 min,"Action, Comedy, Crime",Dean Parisot,"Warren Ellis, Cully Hamner, Jon Hoeber","Bruce Willis, Helen Mirren, John Malkovich","Retired C.I.A. Agent Frank Moses (Bruce Willis) is in love with Sarah Ross (Mary-Louise Parker) and enjoying their normal life. Out of the blue, Marvin Boggs (John Malkovich) meets Frank in the supermarket and tells that Wikileaks has released the information that they had participated and know the whereabouts of the Nightshade, a portable nuclear weapon that was smuggled in pieces and hidden in Russia. Now the top agents in the world are under contract to seek them out to discover where Nightshade is. The trio travels to Paris and teams-up with the Russian Katja (Catherine Zeta-Jones) to track down the former Russian Agent ""The Frog"" (David Thewlis) to get more information about the operation. They learn that the brilliant inventor Dr. Edward Bailey (Sir Anthony Hopkins) might know where the weapon is. They discover that Bailey has been interned in an asylum in London by the MI6 for thirty-two years and the British Victoria (Dame Helen Mirren) joins the team. They rescue Bailey and find that the nuclear device is hidden in the Kremlin. Soon, the dangerous South Korean Han Cho Bai (Lee Byung-hun) joins the group expecting to retrieve the weapon. But dangerous killer Jack Horton (Neal McDonough) is hunting Frank down and will not stop until he recovers the nuclear bomb.","English, Russian, French, Persian, Korean","United States, Canada, Russia, France, Hong Kong",1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjI2ODQ4ODY3Nl5BMl5BanBnXkFtZTcwNTc2NzE1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.6,"188,034",tt1821694,movie,N/A,"$53,262,560",N/A,N/A,True,BLU- RAY.pdf,
Dragon Ball Z: Fusion Reborn,1995,PG,04 Mar 1995,51 min,"Animation, Action, Sci-Fi",Shigeyasu Yamauchi,"Akira Toriyama, Takao Koyama","Masako Nozawa, Ryô Horikawa, Takeshi Kusao","When a worker at King Yemma's spiritual check-in station is accidentally covered in spiritual waste, he is transformed into a powerful monster named Janemba, who destroys the barrier between the real world and Other World, allowing the dead to walk the Earth. As the living Z Fighters fend off the dead, it is up to Goku, Pikkon, and Vegeta to stop Janemba.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNjIyNGY0OWYtY2JlNS00ODVjLWJiODEtYWNlNWZjNDMzZjUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"13,732",tt0142236,movie,N/A,"$270,354",N/A,N/A,True,BLU- RAY.pdf,
Revenant,2023,N/A,23 Jun 2023,N/A,"Drama, Fantasy, Horror",N/A,N/A,"Oh Jung-se, Hong Kyung, Kim Tae-ri","Ku San Young works and studies at night to become a public officer. After receiving a relic from her dead father mysterious deaths take place around her, and she finds herself slowly changing.",Korean,South Korea,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BODY2ODI3NjUtMGI3MC00Mzk0LTg1NGQtNmMwZmExZDJlZjI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"3,951",tt22263470,series,,,,,True,BLU- RAY.pdf,1
Saving Private Ryan,1998,R,24 Jul 1998,169 min,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore","Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...","English, French, German, Czech",United States,Won 5 Oscars. 79 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.6,"1,624,514",tt0120815,movie,N/A,"$217,049,603",N/A,N/A,True,BLU- RAY.pdf,
Striptease,1996,R,28 Jun 1996,115 min,"Comedy, Crime, Drama",Andrew Bergman,"Carl Hiaasen, Andrew Bergman","Demi Moore, Burt Reynolds, Armand Assante","Erin Grant loses care and custody of her daughter when she's divorced from her husband Darrell, a small-time thief. Struggling for money, she is a dancer at a nightclub, where one night Congressman Dilbeck (in disguise) attacks another member of the audience. A spectator, who recognizes Dilbeck and is fond of Erin, offers to get back her daughter by blackmailing Dilbeck. Things do not work out as planned, though.",English,United States,8 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZjA4N2FjZDktYzFkMi00YzMzLWIyNTctNzY5OTA3ZTQ0OTVlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,4.6,"50,716",tt0117765,movie,N/A,"$33,109,743",N/A,N/A,True,BLU- RAY.pdf,
Extremely Loud & Incredibly Close,2011,PG-13,20 Jan 2012,129 min,"Adventure, Drama, Mystery",Stephen Daldry,"Eric Roth, Jonathan Safran Foer","Thomas Horn, Tom Hanks, Sandra Bullock","A troubled young boy, Oskar, is trying to cope with the loss of his father. Oskar starts lashing out at his mother and the world. Until a year later, he discovers a mysterious key in his father's belongings and embarks on a scavenger hunt to find the matching lock, just as he used to when his father was alive. On this journey he is bound to meet a lot of people and learn a lot about himself and his family, but will he ever find the lock?",English,United States,Nominated for 2 Oscars. 8 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxNzYwMTE3NV5BMl5BanBnXkFtZTcwMDY2NzU4Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.9,"107,625",tt0477302,movie,N/A,"$31,847,881",N/A,N/A,True,BLU- RAY.pdf,
Amor en tiempos modernos,2016,N/A,30 Jul 2016,N/A,Short,Germán Mairen,Germán Mairen,"Antonio Araya, Jorge Arnaiz, Valentina Bermejo",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BNTEyNzQ2ZjYtNjk1Yi00YjI4LWI2NzAtODRmZjZiMzEzN2Y0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt6232364,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Titanic,1997,PG-13,19 Dec 1997,194 min,"Drama, Romance",James Cameron,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane","84 years later, a 100 year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","English, Swedish, Italian, French",United States,Won 11 Oscars. 126 wins & 84 nominations total,https://m.media-amazon.com/images/M/MV5BYzYyN2FiZmUtYWYzMy00MzViLWJkZTMtOGY1ZjgzNWMwN2YxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.0,"1,383,106",tt0120338,movie,N/A,"$674,354,882",N/A,N/A,True,BLU- RAY.pdf,
Tsubasa,1994–,N/A,07 Feb 1994,N/A,Drama,N/A,N/A,"Shô Aikawa, Kiyoshi Kodama, Azusa Nakamura",N/A,Japanese,Japan,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,57,tt1702986,series,,,,,True,BLU- RAY.pdf,N/A
The Hunger Games,2012,PG-13,23 Mar 2012,142 min,"Action, Adventure, Sci-Fi",Gary Ross,"Gary Ross, Suzanne Collins, Billy Ray","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","In a dystopian future, the totalitarian nation of Panem is divided into 12 districts and the Capitol. Each year two young representatives from each district are selected by lottery to participate in The Hunger Games. Part entertainment, part brutal retribution for a past rebellion, the televised games are broadcast throughout Panem. The 24 participants are forced to eliminate their competitors while the citizens of Panem are required to watch. When 16-year-old Katniss' young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart, Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives.",English,United States,Won 1 BAFTA Award34 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BMWI1OGM4YjQtNmIxNi00YmE2LWJkNTAtY2Q0YjU4NTI5NWQyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.2,"1,074,757",tt1392170,movie,N/A,"$408,010,692",N/A,N/A,True,BLU- RAY.pdf,
The Departed,2006,R,06 Oct 2006,151 min,"Crime, Drama, Thriller",Martin Scorsese,"William Monahan, Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson","In this crime-action tour de force, the South Boston state police force is waging war on Irish-American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by their double lives, gathering information about the plans and counter-plans of the operations they have penetrated. But when it becomes clear to both the mob and the police that there is a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy - and each must race to uncover the identity of the other man in time to save themselves. But is either willing to turn on their friends and comrades they've made during their long stints undercover?","English, Cantonese","United States, Hong Kong",Won 4 Oscars. 100 wins & 141 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.5,"1,538,133",tt0407887,movie,N/A,"$132,399,394",N/A,N/A,True,BLU- RAY.pdf,
The Informant!,2009,R,18 Sep 2009,108 min,"Biography, Comedy, Crime",Steven Soderbergh,"Scott Z. Burns, Kurt Eichenwald","Matt Damon, Tony Hale, Patton Oswalt","Mark Whitacre has worked for lysine developing company ADM for many years and has even found his way into upper management. But nothing has prepared him for the job he is about to undertake - being a spy for the FBI. Unwillingly pressured into working as an informant against the illegal price-fixing activities of his company, Whitacre gradually adopts the idea that he's a true secret agent. But as his incessant lies keep piling up, his world begins crashing down around him.","English, German",United States,1 win & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTgyNjE1OTc4Ml5BMl5BanBnXkFtZTgwNjc4MTA3MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.5,"68,874",tt1130080,movie,N/A,"$33,316,821",N/A,N/A,True,BLU- RAY.pdf,
The Ring,2002,PG-13,18 Oct 2002,115 min,"Horror, Mystery",Gore Verbinski,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi","Naomi Watts, Martin Henderson, Brian Cox","Rachel Keller is a journalist investigating a videotape that may have killed four teenagers (including her niece). There is an urban legend about this tape: the viewer will die seven days after watching it. If the legend is correct, Rachel will have to run against time to save her son's and her own life.",English,"United States, Japan",14 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.1,"400,067",tt0298130,movie,N/A,"$129,128,133",N/A,N/A,True,BLU- RAY.pdf,
Thor,2011,PG-13,06 May 2011,115 min,"Action, Fantasy",Kenneth Branagh,"Ashley E. Miller, Zack Stentz, Don Payne","Chris Hemsworth, Anthony Hopkins, Natalie Portman","The warrior Thor (Chris Hemsworth) is cast out of the fantastic realm of Asgard by his father Odin (Sir Anthony Hopkins) for his arrogance and sent to Earth to live amongst humans. Falling in love with scientist Jane Foster (Natalie Portman) teaches Thor much-needed lessons, and his new-found strength comes into play as a villain from his homeland sends dark forces toward Earth.",English,"United States, France",5 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BNjRhNGZjZjEtYTQzYS00OWUxLThjNGEtMTIwMTE2ZDFlZTZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.0,"958,893",tt0800369,movie,N/A,"$181,030,624",N/A,N/A,True,BLU- RAY.pdf,
Tron,1982,PG,09 Jul 1982,96 min,"Action, Adventure, Sci-Fi",Steven Lisberger,"Steven Lisberger, Bonnie MacBird","Jeff Bridges, Bruce Boxleitner, David Warner","Hacker/arcade owner Kevin Flynn is digitally broken down into a data stream by a villainous software pirate known as Master Control and reconstituted into the internal, 3-D graphical world of computers. It is there, in the ultimate blazingly colorful, geometrically intense landscapes of cyberspace, that Flynn joins forces with Tron to outmaneuver the Master Control Program that holds them captive in the equivalent of a gigantic, infinitely challenging computer game.",English,"United States, Taiwan, Japan, United Kingdom",Nominated for 2 Oscars. 2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTA4Y2VjOWEtMWQ5MS00YWU5LTkxZTMtNzVmMDYyNWFiODU5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.7,"145,118",tt0084827,movie,N/A,"$33,000,000",N/A,N/A,True,BLU- RAY.pdf,
Kamui Gaiden,2009,Unrated,19 Sep 2009,120 min,"Action, Adventure, Drama",Yôichi Sai,"Sampei Shirato, Kankurô Kudô, Yôichi Sai","Ken'ichi Matsuyama, Koyuki, Kaoru Kobayashi","Once a powerful ninja, Kamui walks away from his violent and murderous ways. His travels bring him to a seashore village where he meets Hanbei, a fisherman who shares the former ninja's sense of honor. Though Hanbei's wife is wary of the stranger, the fisherman and Kamui become good friends. Life at the seaside seems idyllic but Kamui doesn't get to enjoy the peace for very long when, one day, a band of pirates arrive... It seems that his past life is catching up on him, and everything and everyone is not as it seems. Now he must draw upon his shadowy arts if he hopes to escape with his life.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BODRjNmE1N2YtNjI1Ny00ZjdiLTgxMjktOTMxMWIwNDZhYWI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,"1,128",tt1156479,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Voraz,2023,N/A,18 Apr 2023,N/A,"Short, Horror",Kristel Letrado,Kristel Letrado,"Eduardo Armenta, Gil Pacheco, Daniel Polanco",N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt32377030,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Wolverine,2011,Not Rated,23 Jul 2011,1 min,"Animation, Action, Sci-Fi",N/A,N/A,"Rikiya Koyama, Milo Ventimiglia, Vic Mignogna","Logan is asked by his old friend, a cop from Japan, to help him take down Shingen Yashida's crime syndicate and save Mariko, Logan's lost love, from forced marriage arranged by her father Shingen. Yukio, a female assassin, helps him.","Japanese, English","United States, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMzNjMzMwOTEtYWIyYS00OTQxLWI3ZmYtODdjNDFiZGE0NjU1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"1,887",tt1847521,series,,,,,True,BLU- RAY.pdf,1
